"","id","mean_fullfit","mean_bootstrap","median","CIlo","CIhi","Q1","Q3"
"1","DRIVERS_LICENCE_IND_1_0",-0.61964,-0.53358,-0.54491,-0.6928,-0.35858,-0.59588,-0.48068
"2","SECURED_LOAN_PURPOSE_CODE_0",0.69704,0.42535,0.42521,0.35119,0.50792,0.38704,0.45755
"3","SECURED_LOAN_PURPOSE_CODE_1",-0.62969,-0.32271,-0.31809,-0.38004,-0.28458,-0.343,-0.30089
"4","LN_PROTECTION_INS_IND_0",0.31645,0.2579,0.2583,0.20938,0.30989,0.24254,0.27537
"5","NUM_EXIST_WBC_ACCTS_1",0.65806,0.25571,0.25967,0.19415,0.31127,0.22212,0.28265
"6","NUM_APPS_1 x SECURED_LOAN_PURPOSE_CODE_0",0.17422,0.22907,0.23367,0.14971,0.31167,0.18008,0.27083
"7","DRIVERS_LICENCE_IND_1_1",0.29662,0.18684,0.18874,0.14032,0.23727,0.17019,0.20389
"8","LN_PROTECTION_INS_IND_1",-0.3777,-0.15298,-0.14523,-0.22304,-0.11629,-0.16584,-0.13043
"9","NUM_EXIST_WBC_ACCTS_1 x DRIVERS_LICENCE_IND_2_0",-0.15232,-0.14409,-0.14657,-0.21988,-0.05577,-0.18049,-0.12664
"10","NUM_EXIST_WBC_ACCTS_1 x DRIVERS_LICENCE_IND_2_1",0.15232,0.14409,0.14657,0.05577,0.21988,0.12664,0.18049
"11","NUM_BUR_ENQ_L6M_1",0.16137,0.14349,0.14356,0.1137,0.18097,0.12925,0.15564
"12","NUM_APPS_1 x SECURED_LOAN_PURPOSE_CODE_1",-0.08565,-0.14188,-0.144,-0.19163,-0.08794,-0.16719,-0.11439
"13","NUM_APPS_2 x SECURED_LOAN_PURPOSE_CODE_0",-0.08624,-0.12109,-0.12264,-0.16517,-0.0798,-0.14257,-0.09536
"14","NUM_APPS_0 x SECURED_LOAN_PURPOSE_CODE_0",-0.08798,-0.10798,-0.11056,-0.14706,-0.06991,-0.12784,-0.08559
"15","NUM_EXIST_WBC_CHQ_ACCTS",-0.04842,-0.10476,-0.10295,-0.14466,-0.07357,-0.11715,-0.08939
"16","NUM_APPS_0 x SECURED_LOAN_PURPOSE_CODE_1",0.05947,0.09259,0.09414,0.06204,0.12786,0.07451,0.10856
"17","DRIVERS_LICENCE_IND_2_0 x SECURED_LOAN_PURPOSE_CODE_0",-0.05878,-0.08997,-0.08643,-0.16999,-0.02944,-0.12114,-0.06177
"18","DRIVERS_LICENCE_IND_2_1 x SECURED_LOAN_PURPOSE_CODE_0",0.05878,0.08997,0.08643,0.02944,0.16999,0.06177,0.12114
"19","NUM_EXIST_WBC_ACCTS_5",-0.13508,-0.08656,-0.08373,-0.12481,-0.05139,-0.10379,-0.07162
"20","NUM_EXIST_WBC_ACCTS_2",0.12051,0.08413,0.08206,0.05589,0.12938,0.06757,0.09494
"21","NUM_EXIST_WBC_ACCTS_3",0.06217,-0.08377,-0.08408,-0.11394,-0.05388,-0.09378,-0.07298
"22","NUM_EXIST_WBC_ACCTS_4",-0.0709,-0.07726,-0.07757,-0.10874,-0.04291,-0.08862,-0.06384
"23","SEC_FLAG_1",0.03923,0.06965,0.06778,0.02804,0.11886,0.05041,0.08112
"24","NUM_BUR_ENQ_LST_7TO12_MTHS_1",0.08804,0.0682,0.06953,0.0472,0.09335,0.0548,0.0772
"25","SEC_FLAG_0",-0.03923,-0.06709,-0.06778,-0.10489,-0.02804,-0.08093,-0.05041
"26","NUM_EXIST_WBC_ACCTS_0",0.38862,0.06492,0.06482,0.03316,0.09356,0.05387,0.07686
"27","NUM_EXIST_WBC_ACCTS_6",-0.24827,-0.06445,-0.06345,-0.0976,-0.03969,-0.07696,-0.05253
"28","NUM_EXIST_WBC_ACCTS_2 x DRIVERS_LICENCE_IND_2_0",-0.08023,-0.06271,-0.06504,-0.10387,-0.01854,-0.07961,-0.05138
"29","NUM_EXIST_WBC_ACCTS_2 x DRIVERS_LICENCE_IND_2_1",0.08023,0.06271,0.06504,0.01854,0.10387,0.05138,0.07961
"30","NUM_EXIST_WBC_MCD_ACCTS",-0.10223,-0.06121,-0.05941,-0.10808,-0.01281,-0.08606,-0.0373
"31","NUM_APPS_1",0.1625,0.04984,0.03993,0.02419,0.10288,0.03283,0.05569
"32","DRIVERS_LICENCE_IND_2_1 x SECURED_LOAN_PURPOSE_CODE_1",-0.02239,-0.04961,-0.04811,-0.09275,-0.01635,-0.06312,-0.03438
"33","DRIVERS_LICENCE_IND_2_0 x SECURED_LOAN_PURPOSE_CODE_1",0.02239,0.04961,0.04811,0.01635,0.09275,0.03438,0.06312
