id,mean_fullfit,mean_bootstrap,median,CIlo,CIhi,Q1,Q3
DRIVERS_LICENCE_IND_1_0,-0.619266923,-0.569586412,-0.584924381,-0.690992763,-0.407047913,-0.654598115,-0.49740079
NUM_EXIST_WBC_ACCTS_1,0.245542977,0.28919142,0.285073289,0.219529602,0.389247433,0.251544515,0.310345339
LN_PROTECTION_INS_IND_0,0.292086289,0.281106516,0.282894837,0.21825673,0.343854255,0.248168505,0.305075567
DRIVERS_LICENCE_IND_1_1,0.199639742,0.211312691,0.20789862,0.164252023,0.255992206,0.188752816,0.235716299
SECURED_LOAN_PURPOSE_CODE_0,0.185562425,0.178257163,0.171851168,0.133535757,0.230142403,0.154098955,0.200068594
NUM_APPS_1 x SECURED_LOAN_PURPOSE_CODE_0,0.171825114,0.176472603,0.175982002,0.087916588,0.258288291,0.133772052,0.213440931
NUM_EXIST_WBC_ACCTS_1 x DRIVERS_LICENCE_IND_2_1,0.19924682,0.168809881,0.172689702,0.052137636,0.238118759,0.145759197,0.203712203
NUM_EXIST_WBC_ACCTS_1 x DRIVERS_LICENCE_IND_2_0,-0.199246766,-0.168809845,-0.172689613,-0.238118837,-0.052137569,-0.203712033,-0.145759373
SECURED_LOAN_PURPOSE_CODE_1,-0.149754261,-0.144453613,-0.142492419,-0.165807178,-0.119472048,-0.159318092,-0.13190522
NUM_BUR_ENQ_L6M_1,0.145988003,0.142768059,0.14438445,0.115587124,0.167140771,0.128941809,0.157439825
LN_PROTECTION_INS_IND_1,-0.124017288,-0.141092565,-0.130680764,-0.202857857,-0.104999599,-0.157115344,-0.120285887
NUM_EXIST_WBC_CHQ_ACCTS,-0.132571996,-0.12543469,-0.125411672,-0.164799518,-0.083513985,-0.139674706,-0.108030397
NUM_EXIST_WBC_ACCTS_0,0.096926588,0.113601517,0.114043972,0.077940785,0.144786609,0.09874629,0.127041963
NUM_EXIST_WBC_ACCTS_5,-0.088602486,-0.105470587,-0.100984915,-0.150927576,-0.079110803,-0.113779881,-0.090117325
NUM_APPS_2 x SECURED_LOAN_PURPOSE_CODE_0,-0.10145672,-0.104579217,-0.102692411,-0.148181576,-0.052388349,-0.125954224,-0.08066721
NUM_EXIST_WBC_ACCTS_2,0.082243817,0.10182146,0.099658863,0.057595255,0.159865807,0.082851623,0.115889885
NUM_APPS_1 x SECURED_LOAN_PURPOSE_CODE_1,-0.095926784,-0.097165026,-0.097035062,-0.141990409,-0.047746628,-0.122326517,-0.074717651
NUM_EXIST_WBC_ACCTS_4,-0.082084457,-0.096888479,-0.091004247,-0.140864111,-0.06300543,-0.111908142,-0.080786568
NUM_EXIST_WBC_ACCTS_3,-0.084425909,-0.094090722,-0.093293278,-0.127668106,-0.067181296,-0.106741867,-0.078025874
DRIVERS_LICENCE_IND_2_1 x SECURED_LOAN_PURPOSE_CODE_0,0.101893923,0.090908755,0.09308917,0.003379198,0.153233199,0.060893329,0.127076993
DRIVERS_LICENCE_IND_2_0 x SECURED_LOAN_PURPOSE_CODE_0,-0.101894541,-0.090908617,-0.09308905,-0.15323394,-0.003379208,-0.127076501,-0.060892781
NUM_EXIST_WBC_ACCTS_6,-0.074274573,-0.081809771,-0.080551467,-0.110842198,-0.05057109,-0.093774525,-0.07122998
NUM_EXIST_WBC_ACCTS_1 x SECURED_LOAN_PURPOSE_CODE_0,0.100957799,0.08033104,0.074916563,0,0.154609852,0.037441282,0.127143325
NUM_APPS_1,0.068846516,0.079173276,0.069524754,0.031233628,0.153450882,0.048846243,0.10206371
NUM_APPS_0 x SECURED_LOAN_PURPOSE_CODE_0,-0.07036874,-0.071893262,-0.071352821,-0.110327614,-0.035528934,-0.087203028,-0.053417872
NUM_EXIST_WBC_ACCTS_2 x DRIVERS_LICENCE_IND_2_1,0.088001995,0.070931186,0.072453249,0.024768475,0.107075212,0.056530985,0.087556253
NUM_EXIST_WBC_ACCTS_2 x DRIVERS_LICENCE_IND_2_0,-0.088001941,-0.07093115,-0.072453196,-0.107075277,-0.0247685,-0.087556231,-0.05653094
NUM_BUR_ENQ_LST_MTH_1,0.072604458,0.070303155,0.070514682,0.032938276,0.104227104,0.055854074,0.086414595
NUM_EXIST_WBC_MCD_ACCTS,-0.116320524,-0.068107022,-0.070973235,-0.150282776,-0.007209094,-0.096047421,-0.035702844
NUM_APPS_0 x SECURED_LOAN_PURPOSE_CODE_1,0.058108297,0.058946414,0.059112467,0.029007086,0.087885192,0.045032379,0.073926534
NUM_APPS_2,-0.047137068,-0.052163086,-0.048748504,-0.083611819,-0.031119689,-0.060307798,-0.042140065
NUM_EXIST_WBC_ACCTS_7,-0.044313687,-0.048726248,-0.045858487,-0.074007843,-0.026873751,-0.05871376,-0.038520236
NUM_BUR_ENQ_LST_7TO12_MTHS_1,0.045815297,0.048027924,0.048399735,0.02573696,0.07131732,0.035113995,0.057644137
NUM_EXIST_WBC_ACCTS_8,-0.038337252,-0.044836505,-0.042767144,-0.072692222,-0.019970548,-0.057314257,-0.033597951
DRIVERS_LICENCE_IND_2_0 x SECURED_LOAN_PURPOSE_CODE_1,0.050372211,0.044378088,0.04622538,0.001584091,0.076503397,0.030626984,0.060172142
DRIVERS_LICENCE_IND_2_1 x SECURED_LOAN_PURPOSE_CODE_1,-0.050372829,-0.04437795,-0.046225925,-0.076504096,-0.0015841,-0.060172303,-0.030626759
NUM_EXIST_WBC_ACCTS_0 x DRIVERS_LICENCE_IND_2_1,0.058206748,0.044323086,0.042923102,0.014255687,0.073912105,0.029511696,0.057404374
NUM_EXIST_WBC_ACCTS_0 x DRIVERS_LICENCE_IND_2_0,-0.058206693,-0.044323051,-0.042922955,-0.073912283,-0.014255683,-0.057404291,-0.029511616
